channel_name,channel_label,username,username_link,post_text,post_link,date,number_of_views,extracted_urls
azerbaijaninthelens,Azerbaijan,azerbaijaninthelens,https://t.me/azerbaijaninthelens,"Azərbaycan Əmək və Əhalinin Sosial Müdafiəsi Nazirliyi himayədar ailələrə birdəfəlik və aylıq müavinətlərin müəyyən edilməsini açıqlayıb. Qeyd olunur ki, yekun məbləğlər uşaqlar üçün yaşayış minimumu və əlavə həvəsləndirici müavinətlər hesabına formalaşır. https://yerlimedia.org/respublikada-himay%c9%99dar-ail%c9%99l%c9%99r-%c9%99lav%c9%99-guz%c9%99stl%c9%99r-alacaqlar/",https://t.me/azerbaijaninthelens/1916,05/07/2023,68.0,['https://yerlimedia.org/respublikada-himay%c9%99dar-ail%c9%99l%c9%99r-%c9%99lav%c9%99-guz%c9%99stl%c9%99r-alacaqlar/']
azerbaijaninthelens,Azerbaijan,azerbaijaninthelens,https://t.me/azerbaijaninthelens,"Baş nazir Əli Əsədov dövlət taxıl fondunun saxlanması və istifadəsi qaydalarında dəyişiklik edilməsi barədə qərar imzalayıb. Bu dəyişikliklərə əsasən, Fondda taxılın tədarükü və yenilənməsi dövlət sifarişçisinin qərarı ilə, taxıldan istifadə isə Azərbaycan Nazirlər Kabinetinin qərarı ilə həyata keçirilir.",https://t.me/azerbaijaninthelens/1917,05/07/2023,64.0,[]
azerbaijaninthelens,Azerbaijan,azerbaijaninthelens,https://t.me/azerbaijaninthelens,"Heydər Əliyev Fondunun təşəbbüsü ilə Bakıda və Şuşada ""Muğam aləmi"" VI Beynəlxalq Musiqi Festivalı keçiriləcək. Azərbaycanı Milli Muğam Müsabiqəsində ""xanəndə"" və ""instrumental ifa"" nominasiyaları üzrə qalib olmuş Mirəli Sarızadə və Vaqif Təhməzov təmsil edəcək.Tədbir 18-25 iyun tarixlərinə nəzərdə tutulub, iştirakçıların qeydiyyatı isə mayın 20-dək davam edəcək.",https://t.me/azerbaijaninthelens/1918,05/08/2023,65.0,[]
azerbaijaninthelens,Azerbaijan,azerbaijaninthelens,https://t.me/azerbaijaninthelens,"Azərbaycanın Elm və Təhsil Nazirliyindən bildirilib ki, bu ilin sentyabr-oktyabr aylarında Zəngilan və Kəlbəcərdə 960 şagird yerlik ümumtəhsil məktəblərinin tikintisinə başlanılacaq. Eyni zamanda, Füzuli Peşə Liseyinin tikintisi ilə bağlı işlərə başlanılması nəzərdə tutulur. Bildirilir ki, artıq Cəbrayıl, Ağdam və Şuşa şəhərlərində məktəblər tikilir, Şuşa real məktəbinin və Laçın şəhərindəki 2 nömrəli tam orta məktəbin bərpasına hazırlıq görülür.",https://t.me/azerbaijaninthelens/1919,05/08/2023,68.0,[]
azerbaijaninthelens,Azerbaijan,azerbaijaninthelens,https://t.me/azerbaijaninthelens,"Əqli Mülkiyyət Agentliyinin İdarə Heyətinin sədri Kamran İmanov bildirib ki, hazırda Azərbaycan əqli mülkiyyətin qorunması üzrə MDB ölkələri arasında birinci yerdədir. Dünya İqtisadi Forumunun Qlobal Rəqabətlilik İndeksi üzrə reytinqində ölkəmiz dünyanın 141 ölkəsi arasında 30-cu yerdədir.",https://t.me/azerbaijaninthelens/1921,05/08/2023,61.0,[]
azerbaijaninthelens,Azerbaijan,azerbaijaninthelens,https://t.me/azerbaijaninthelens,"Beynəlxalq Bərpa Olunan Enerji Agentliyi ötən ilin yekunlarına görə Azərbaycanda günəş enerjisinin ümumi tutumunda qeydə alınan artım barədə məlumat yayıb. 2022-ci il üçün yekun göstərici 51 MVt olub. Bu, 2021-ci illə müqayisədə 6,25% çoxdur. Ötən il ölkəmizdə bərpa olunan enerji mənbələrinin ümumi gücü 1339 MVt olub.",https://t.me/azerbaijaninthelens/1922,05/09/2023,56.0,[]
azerbaijaninthelens,Azerbaijan,azerbaijaninthelens,https://t.me/azerbaijaninthelens,9 May - ölkəmizin tarixində xüsusi tarixdir. 1945-ci ilin qələbəsinə Azərbaycan xalqı hansı töhfələr verdiyi və indi ölkəmizdə Qələbə bayramı necə qeyd olunduğu barədə videoda baxın.Bəs qohumlarınız arasında BVM veteranları var? Onların qəhrəmanlıqları haqqında danışın.,https://t.me/azerbaijaninthelens/1923,05/09/2023,62.0,[]
azerbaijaninthelens,Azerbaijan,azerbaijaninthelens,https://t.me/azerbaijaninthelens,"Mayın 23-də paytaxtdakı Heydər Əliyev Sarayında BN Team Orkestrinin möhtəşəm konserti olacaq. Kollektiv artıq məşhur olan ""Türk seriallarının dünyası"" verilişini ictimaiyyətə təqdim edəcək. Tamaşaçıya tanış olan hitlər simfonik aranjimanda ifaçılar xorunun və parlaq solistlərin müşayiəti ilə ifa olunacaq. https://yerlimedia.org/turk-seriallarindan-musiqil%c9%99ri-bn-team-orchestra-ifa-ed%c9%99c%c9%99k/",https://t.me/azerbaijaninthelens/1924,05/09/2023,61.0,['https://yerlimedia.org/turk-seriallarindan-musiqil%c9%99ri-bn-team-orchestra-ifa-ed%c9%99c%c9%99k/']
azerbaijaninthelens,Azerbaijan,azerbaijaninthelens,https://t.me/azerbaijaninthelens,"Bakı limanının baş direktoru Taleh Ziyadov bildirib ki, limanda mineral gübrə terminalının tikintisinin mayın sonunadək başa çatdırılması, cari ilin iyun-iyul aylarında istifadəyə verilməsi nəzərdə tutulub. Həmçinin, yaxın vaxtlarda Bakı limanında yükdaşıma terminalının tikintisinə başlanacaq, layihələndirmə işləri artıq başa çatdırılıb.",https://t.me/azerbaijaninthelens/1925,05/09/2023,61.0,[]
azerbaijaninthelens,Azerbaijan,azerbaijaninthelens,https://t.me/azerbaijaninthelens,Laçında içməli su təchizatı sistemləri bərpa edilir. Su mənbəyindən şəhərə 10 km uzunluğunda magistral su xəttinin çəkilməsi nəzərdə tutulur. Artıq işlərin 70 faizi yerinə yetirilib. İçməli su 3 nasos stansiyasında çoxpilləli nasoslar vasitəsilə şəhərə çatdırılacaq. Şəhərin fasiləsiz su təchizatı üçün ümumi tutumu 4 min kubmetr olan doqquz su anbarının tikintisi və bərpası da davam etdirilir.,https://t.me/azerbaijaninthelens/1926,05/10/2023,62.0,[]
